file name,proportion_weight,filing_time,cik
E:/ALLEXTRACTED_FILINGS\1013871_10Q_2019_0001013871-19-000035.json,0.0011942946882816448,2019-11-07,1013871
E:/ALLEXTRACTED_FILINGS\1013871_10Q_2020_0001013871-20-000023.json,0.001379073803269286,2020-05-07,1013871
E:/ALLEXTRACTED_FILINGS\1013871_10Q_2020_0001013871-20-000034.json,0.0012687917611159424,2020-08-06,1013871
E:/ALLEXTRACTED_FILINGS\1013871_10Q_2020_0001013871-20-000040.json,0.0011499384238104582,2020-11-05,1013871
E:/ALLEXTRACTED_FILINGS\1013871_10Q_2021_0001013871-21-000010.json,0.0014606971813144807,2021-05-06,1013871
E:/ALLEXTRACTED_FILINGS\1013871_10Q_2021_0001013871-21-000016.json,0.0013304018084752426,2021-08-05,1013871
E:/ALLEXTRACTED_FILINGS\1013871_10Q_2021_0001013871-21-000022.json,0.0011978648627210865,2021-11-04,1013871
E:/ALLEXTRACTED_FILINGS\1013871_10Q_2022_0001013871-22-000016.json,0.0012376814536872393,2022-05-06,1013871
E:/ALLEXTRACTED_FILINGS\1013871_10Q_2022_0001013871-22-000022.json,0.0011603135411445312,2022-08-04,1013871
E:/ALLEXTRACTED_FILINGS\1013871_10Q_2022_0001013871-22-000027.json,0.0011850477530083474,2022-11-07,1013871
E:/ALLEXTRACTED_FILINGS\1013871_10Q_2023_0001013871-23-000012.json,0.0018513532643370688,2023-05-04,1013871
E:/ALLEXTRACTED_FILINGS\1013871_10Q_2023_0001013871-23-000017.json,0.0012607183922933333,2023-08-08,1013871
E:/ALLEXTRACTED_FILINGS\1014473_10Q_2019_0001014473-19-000015.json,0.0022982466715045233,2019/4/25,1014473
E:/ALLEXTRACTED_FILINGS\1014473_10Q_2019_0001014473-19-000037.json,0.002268372804458559,2019-10-24,1014473
E:/ALLEXTRACTED_FILINGS\1014473_10Q_2020_0001014473-20-000019.json,0.002244553696403267,2020-04-23,1014473
E:/ALLEXTRACTED_FILINGS\1014473_10Q_2020_0001014473-20-000029.json,0.002209510656974159,2020-07-23,1014473
E:/ALLEXTRACTED_FILINGS\1014473_10Q_2020_0001014473-20-000034.json,0.002227704912625852,2020-10-22,1014473
