file name,number of words
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1579241_0001579241-19-000006_1.txt,1751356
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_1701605_0001701605-19-000021_1.txt,1196761
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_315293_0001628280-19-001558_1.txt,2535188
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_5513_0000005513-19-000004_1.txt,3140668
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_59478_0000059478-19-000082_1.txt,1585695
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_7084_0000007084-19-000012_1.txt,1696880
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_72207_0000072207-19-000018_1.txt,1831589
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_74208_0000074208-19-000028_1.txt,5371999
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_77360_0000077360-19-000006_1.txt,1547190
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_885725_0000885725-19-000011_1.txt,1372321
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190219_10-K_edgar_data_908255_0000908255-19-000014_1.txt,1847145
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_1000228_0001000228-19-000015_1.txt,1717621
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_1015780_0001015780-19-000060_1.txt,2205913
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_1090012_0001564590-19-003382_1.txt,3490497
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_1097864_0001193125-19-045025_1.txt,1093456
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_1111711_0001111711-19-000008_1.txt,1710107
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_1121788_0001615774-19-002739_1.txt,797825
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_1156039_0001156039-19-000004_1.txt,2403559
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_1168054_0001168054-19-000006_1.txt,1057340
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_1278021_0001564590-19-003476_1.txt,1402433
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_1358071_0001358071-19-000003_1.txt,1928254
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_1393612_0001393612-19-000011_1.txt,2298455
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_200406_0000200406-19-000009_1.txt,2123344
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_30625_0000030625-19-000009_1.txt,1701377
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_36270_0001564590-19-003467_1.txt,6364105
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_48039_0000048039-19-000012_1.txt,1494949
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_51434_0000051434-19-000007_1.txt,1907951
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_59558_0000059558-19-000010_1.txt,5219216
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_732717_0001193125-19-045608_1.txt,2126824
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_860731_0000860731-19-000009_1.txt,1017549
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_92122_0000092122-19-000006_1.txt,6791889
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_922864_0000922864-19-000007_1.txt,1387564
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190220_10-K_edgar_data_927628_0000927628-19-000093_1.txt,3988150
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_101778_0000101778-19-000022_1.txt,1847937
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1022079_0001022079-19-000030_1.txt,1115659
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1037868_0001193125-19-046947_1.txt,1618883
D:\python_working_fold\7871NLP\hw1\data\2019\QTR1\20190221_10-K_edgar_data_1039101_0001039101-19-000005_1.txt,2357624
