,0
1333,0000936340
1334,0001316835
1335,0000012659
1336,0001120193
1337,0001120193
1338,0001120193
1339,0001120193
1340,0001120193
1341,0000728535
1342,0000728535
1343,0000728535
1344,0000728535
1345,0000728535
1346,0001442145
1347,0001442145
1348,0001442145
1349,0001442145
1350,0001442145
1351,0001126328
1352,0001126328
1353,0001126328
1354,0001126328
1355,0001126328
1356,0000097210
1357,0000097210
1358,0000097210
1359,0000097210
1360,0000882835
1361,0000882835
1362,0000882835
1363,0000882835
1364,0000882835
1365,0001037868
1366,0001037868
1367,0001037868
1368,0001037868
1369,0001037868
1370,0000072903
1371,0000072903
1372,0000072903
1373,0000072903
1374,0000072903
1375,0000720005
1376,0000720005
1377,0000720005
1378,0000720005
1379,0000720005
1380,0000055785
1381,0000055785
1382,0000055785
1383,0000055785
1384,0000055785
1385,0000028412
1386,0000028412
1387,0000028412
1388,0000028412
1389,0000028412
1390,0001063761
1391,0001063761
1392,0001063761
1393,0001063761
1394,0001063761
1395,0000935703
1396,0000935703
1397,0000935703
1398,0000935703
1399,0000935703
1400,0000109198
1401,0000109198
1402,0000109198
1403,0000109198
1404,0000109198
1405,0000084839
1406,0000084839
1407,0000084839
1408,0000084839
1409,0000084839
1410,0000829224
1411,0000829224
1412,0000829224
1413,0000829224
1414,0000829224
1415,0001041061
1416,0001041061
1417,0001041061
1418,0001041061
1419,0001041061
1420,0000811156
1421,0000811156
1422,0000811156
1423,0000811156
1424,0000811156
1425,0000076334
1426,0000076334
1427,0000076334
1428,0000076334
1429,0000076334
1430,0001681459
1431,0001681459
1432,0001024478
1433,0001024478
1434,0001024478
1435,0001024478
1436,0001024478
1437,0001103982
1438,0001103982
1439,0001103982
1440,0001103982
1441,0001103982
1442,0000814453
1443,0000814453
1444,0000814453
1445,0000814453
1446,0000075362
1447,0000075362
1448,0000075362
1449,0000075362
1450,0000075362
1451,0001613103
1452,0001613103
1453,0001613103
1454,0001613103
1455,0001613103
1456,0001711269
1457,0001711269
1458,0001711269
1459,0001711269
1460,0001711269
1461,0001601712
1462,0001601712
1463,0001601712
1464,0001601712
1465,0001601712
1466,0000001800
1467,0000001800
1468,0000001800
1469,0000001800
1470,0000001800
1471,0000007084
1472,0000007084
1473,0000007084
1474,0000007084
1475,0000007084
1476,0000820027
1477,0000820027
1478,0000820027
1479,0000820027
1480,0000820027
1481,0000029989
1482,0000029989
1483,0000029989
1484,0000029989
1485,0000029989
1486,0000793952
1487,0000753308
1488,0000753308
1489,0000753308
1490,0000753308
1491,0000753308
1492,0001373715
1493,0001373715
1494,0001373715
1495,0001373715
1496,0001373715
1497,0000277948
1498,0000277948
1499,0000277948
1500,0000277948
1501,0000277948
1502,0001783180
1503,0001783180
1504,0001783180
1505,0000866787
1506,0000866787
1507,0000866787
1508,0000866787
1509,0000866787
1510,0001590955
1511,0001590955
1512,0001590955
1513,0001590955
1514,0001510295
1515,0001510295
1516,0001510295
1517,0001510295
1518,0001510295
1519,0000056873
1520,0000056873
1521,0000056873
1522,0000056873
1523,0000056873
1524,0000831259
1525,0000831259
1526,0000831259
1527,0000831259
1528,0000831259
1529,0001751788
1530,0001751788
1531,0001751788
