,0
1041,20210225
1042,20200225
1043,20230223
1044,20220224
1045,20191220
1046,20221209
1047,20231208
1048,20211210
1049,20201211
1050,20190221
1051,20200220
1052,20210225
1053,20230223
1054,20220224
1055,20190225
1056,20210219
1057,20200219
1058,20220223
1059,20230217
1060,20220225
1061,20230224
1062,20200220
1063,20210225
1064,20190220
1065,20190227
1066,20200227
1067,20210301
1068,20200227
1069,20220223
1070,20190228
1071,20230223
1072,20200226
1073,20190226
1074,20230224
1075,20210225
1076,20220225
1077,20200228
1078,20230227
1079,20220225
1080,20190228
1081,20210226
1082,20210217
1083,20230217
1084,20220218
1085,20200220
1086,20190222
1087,20230223
1088,20220225
1089,20200227
1090,20210226
1091,20190220
1092,20200220
1093,20230213
1094,20220216
1095,20210225
1096,20191212
1097,20201210
1098,20221206
1099,20231218
1100,20211209
1101,20220520
1102,20230525
1103,20190621
1104,20210621
1105,20220621
1106,20200622
1107,20230620
1108,20220301
1109,20210224
1110,20230227
1111,20200302
1112,20190301
1113,20200131
1114,20190131
1115,20220128
1116,20210129
1117,20230127
1118,20230227
1119,20190228
1120,20220224
1121,20210225
1122,20200220
1123,20200212
1124,20220223
1125,20190212
1126,20230221
1127,20210211
1128,20210226
1129,20200228
1130,20220228
1131,20230301
1132,20190228
1133,20191115
1134,20201119
1135,20211116
1136,20221115
1137,20231114
1138,20210512
1139,20200522
1140,20190515
1141,20220509
1142,20230509
1143,20201218
1144,20221221
1145,20191219
1146,20211217
1147,20231220
1148,20200221
1149,20210219
1150,20230217
1151,20190215
1152,20220217
1153,20200131
1154,20220224
1155,20210204
1156,20230223
1157,20190130
1158,20210225
1159,20200220
1160,20220301
1161,20230223
1162,20190215
1163,20220218
1164,20200214
1165,20210219
1166,20230217
1167,20220204
1168,20230203
1169,20190221
1170,20210205
1171,20200205
1172,20190226
1173,20220228
1174,20210223
1175,20230228
1176,20200225
1177,20210223
1178,20230222
1179,20220223
1180,20190222
1181,20200224
1182,20190222
1183,20200221
1184,20210224
1185,20230224
1186,20220224
1187,20190221
1188,20200224
1189,20210223
1190,20220223
1191,20230217
1192,20220531
1193,20230526
1194,20190530
1195,20210528
1196,20200529
1197,20230222
1198,20210222
1199,20200228
1200,20220223
1201,20190226
1202,20200206
1203,20220203
1204,20230210
1205,20210205
1206,20190207
1207,20220722
1208,20190719
1209,20211025
1210,20230721
1211,20200724
1212,20210301
1213,20230223
1214,20200227
1215,20190228
1216,20220224
1217,20230209
1218,20210210
1219,20220211
1220,20200205
1221,20190208
1222,20220222
1223,20200225
1224,20190226
1225,20230228
1226,20210223
1227,20210223
1228,20220222
1229,20230221
1230,20200224
1231,20210804
1232,20190809
1233,20220803
1234,20230803
