File Name,File Type,Date,Number of Sentences,Sentiment Index
cook20230928a,FOMC_Speech,20230928,0,0
quarles20171130a,FOMC_Speech,20171130,9,-0.222222222
powell20180406a,FOMC_Speech,20180406,116,-0.00862069
quarles20180719a,FOMC_Speech,20180719,4,0
cook20221006a,FOMC_Speech,20221006,54,0.5
yellen20170926a,FOMC_Speech,20170926,188,-0.10106383
brainard20181015a,FOMC_Speech,20181015,1,-1
yellen20140702a,FOMC_Speech,20140702,58,0.086206897
bowman20230414a,FOMC_Speech,20230414,14,-0.071428571
bowman20231205a,FOMC_Speech,20231205,2,0
tarullo20141107a,FOMC_Speech,20141107,6,-0.166666667
powell20130627a,FOMC_Speech,20130627,66,-0.151515152
powell20240823a,FOMC_Speech,20240823,100,0.3
cook20241001a,FOMC_Speech,20241001,29,-0.068965517
bernanke20131114a,FOMC_Speech,20131114,1,0
quarles20190109a,FOMC_Speech,20190109,2,-0.5
brainard20190805a,FOMC_Speech,20190805,0,0
bowman20221012a,FOMC_Speech,20221012,58,0.086206897
yellen20140515a,FOMC_Speech,20140515,7,-0.285714286
powell20170107a,FOMC_Speech,20170107,45,-0.177777778
tarullo20151202a,FOMC_Speech,20151202,1,0
clarida20181127a,FOMC_Speech,20181127,51,0.11764705882352941
barr20231116a,FOMC_Speech,20231116,17,0.17647058823529413
waller20231018a,FOMC_Speech,20231018,47,0.2978723404255319
quarles20180627a,FOMC_Speech,20180627,5,0.2
brainard20150930a,FOMC_Speech,20150930,9,0
raskin20130418a,FOMC_Speech,20130418,38,-0.289473684
jefferson20221117a,FOMC_Speech,20221117,20,0.2
bernanke20120314a,FOMC_Speech,20120314,0,0
fischer20141011a,FOMC_Speech,20141011,66,-0.075757576
fischer20151011a,FOMC_Speech,20151011,26,-0.115384615
bowman20240405a,FOMC_Speech,20240405,103,0.13592233009708737
clarida20210224a,FOMC_Speech,20210224,19,-0.421052632
kugler20240925a,FOMC_Speech,20240925,77,0.12987012987012986
waller20240819a,FOMC_Speech,20240819,7,0.14285714285714285
waller20220218a,FOMC_Speech,20220218,11,0.090909091
barr20221012a,FOMC_Speech,20221012,0,0
bowman20240517a,FOMC_Speech,20240517,33,0.36363636363636365
bowman20231004a,FOMC_Speech,20231004,8,0
powell20170405a,FOMC_Speech,20170405,6,0.16666666666666666
yellen20121011a,FOMC_Speech,20121011,22,-0.272727273
powell20201006a,FOMC_Speech,20201006,25,-0.32
cook20240607a,FOMC_Speech,20240607,1,0
cook20230505a,FOMC_Speech,20230505,0,0
clarida20200225a,FOMC_Speech,20200225,19,-0.105263158
bowman20221117a,FOMC_Speech,20221117,0,0
barr20230710a,FOMC_Speech,20230710,2,0
brainard20190516a,FOMC_Speech,20190516,93,-0.107526882
powell20210210a,FOMC_Speech,20210210,60,-0.216666667
bowman20230213a,FOMC_Speech,20230213,19,0.47368421052631576
fischer20150601a,FOMC_Speech,20150601,32,-0.0625
yellen20130211a,FOMC_Speech,20130211,85,-0.305882353
bowman20211108a,FOMC_Speech,20211108,11,0.36363636363636365
clarida20190222a,FOMC_Speech,20190222,88,-0.045454545
powell20160628a,FOMC_Speech,20160628,83,-0.108433735
bowman20200826a,FOMC_Speech,20200826,12,-0.666666667
powell20230825a,FOMC_Speech,20230825,69,0.21739130434782608
quarles20210322a,FOMC_Speech,20210322,0,0
powell20231019a,FOMC_Speech,20231019,34,0.38235294117647056
bowman20240625b,FOMC_Speech,20240625,0,0
duke20120106a,FOMC_Speech,20120106,36,-0.388888889
brainard20210511a,FOMC_Speech,20210511,38,0.052631579
brainard20181203a,FOMC_Speech,20181203,7,0.14285714285714285
cook20230513a,FOMC_Speech,20230513,2,0
bernanke20121115a,FOMC_Speech,20121115,12,-0.25
tarullo20121204a,FOMC_Speech,20121204,2,0
waller20230331a,FOMC_Speech,20230331,63,0.2222222222222222
yellen20151112a,FOMC_Speech,20151112,12,0.083333333
brainard20201117a,FOMC_Speech,20201117,3,0
bowman20240202a,FOMC_Speech,20240202,28,0.35714285714285715
barr20240214a,FOMC_Speech,20240214,34,-0.088235294
quarles20180718a,FOMC_Speech,20180718,3,-0.333333333
clarida20190520a,FOMC_Speech,20190520,53,-0.113207547
quarles20181109a,FOMC_Speech,20181109,1,0
cook20240514a,FOMC_Speech,20240514,13,0.23076923076923078
powell20240930a,FOMC_Speech,20240930,27,0.4074074074074074
brainard20210301a,FOMC_Speech,20210301,5,-0.2
barr20220907a,FOMC_Speech,20220907,1,0
clarida20191018a,FOMC_Speech,20191018,16,0.125
powell20240926a,FOMC_Speech,20240926,1,0
bowman20241002a,FOMC_Speech,20241002,9,0
brainard20211013a,FOMC_Speech,20211013,8,0
fischer20160223a,FOMC_Speech,20160223,28,0.10714285714285714
brainard20200205a,FOMC_Speech,20200205,6,-0.166666667
brainard20180306a,FOMC_Speech,20180306,44,0.022727272727272728
brainard20220719a,FOMC_Speech,20220719,0,0
bowman20230531a,FOMC_Speech,20230531,11,0.36363636363636365
powell20210924a,FOMC_Speech,20210924,3,0
bowman20230927a,FOMC_Speech,20230927,1,0
duke20120720a,FOMC_Speech,20120720,11,-0.181818182
yellen20140918a,FOMC_Speech,20140918,0,0
powell20130702a,FOMC_Speech,20130702,12,-0.083333333
brainard20170522a,FOMC_Speech,20170522,43,-0.046511628
duke20120327a,FOMC_Speech,20120327,4,-0.25
brainard20210730a,FOMC_Speech,20210730,32,0.0625
brainard20150602a,FOMC_Speech,20150602,58,-0.206896552
bowman20210216a,FOMC_Speech,20210216,1,0
powell20140904a,FOMC_Speech,20140904,9,0
waller20240906a,FOMC_Speech,20240906,55,0.12727272727272726
quarles20190329a,FOMC_Speech,20190329,28,0.14285714285714285
quarles20201211a,FOMC_Speech,20201211,1,-1
fischer20160307a,FOMC_Speech,20160307,101,-0.138613861
bowman20240625a,FOMC_Speech,20240625,70,0.2714285714285714
yellen20151020a,FOMC_Speech,20151020,2,0
brainard20191126a,FOMC_Speech,20191126,79,-0.012658228
brainard20181203b,FOMC_Speech,20181203,8,0
fischer20161111a,FOMC_Speech,20161111,67,-0.149253731
bernanke20131119a,FOMC_Speech,20131119,84,-0.166666667
powell20210318a,FOMC_Speech,20210318,0,0
tarullo20140625a,FOMC_Speech,20140625,3,0.3333333333333333
bowman20190211a,FOMC_Speech,20190211,1,0
barr20231009a,FOMC_Speech,20231009,3,-0.666666667
waller20231107a,FOMC_Speech,20231107,14,0
cook20230421a,FOMC_Speech,20230421,39,0.2564102564102564
bernanke20120323a,FOMC_Speech,20120323,3,0
jefferson20230224a,FOMC_Speech,20230224,65,0.3076923076923077
tarullo20160712a,FOMC_Speech,20160712,11,-0.090909091
bernanke20120724a,FOMC_Speech,20120724,3,0
clarida20190605a,FOMC_Speech,20190605,15,0.066666667
stein20140103a,FOMC_Speech,20140103,1,0
raskin20120301a,FOMC_Speech,20120301,38,-0.236842105
bowman20230622a,FOMC_Speech,20230622,14,0.5714285714285714
brainard20210927a,FOMC_Speech,20210927,54,0.018518518518518517
tarullo20140609a,FOMC_Speech,20140609,2,0
powell20141114a,FOMC_Speech,20141114,19,-0.210526316
barr20240520a,FOMC_Speech,20240520,14,0.071428571
yellen20150522a,FOMC_Speech,20150522,54,-0.314814815
powell20191125a,FOMC_Speech,20191125,60,-0.2
bowman20240920a,FOMC_Speech,20240920,11,0.6363636363636364
powell20230110a,FOMC_Speech,20230110,10,0.1
clarida20190701a,FOMC_Speech,20190701,101,0
quarles20200206a,FOMC_Speech,20200206,46,-0.152173913
quarles20180305a,FOMC_Speech,20180305,2,0
powell20140923a,FOMC_Speech,20140923,1,0
tarullo20151117a,FOMC_Speech,20151117,6,0.16666666666666666
waller20210329a,FOMC_Speech,20210329,39,0.23076923076923078
fischer20170731a,FOMC_Speech,20170731,76,-0.421052632
